ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
216404,GAN,15072,35.7334,139.739,20.665,2020-01-19,20:57,2020-01-19,11:57,1,,,over 1/2 of sky,Taurus,,,Japan
216405,GAN,15074,35.7679,139.703,25.1154,2020-01-19,21:04,2020-01-19,12:04,2,,,clear,Taurus,,,Japan
216406,GAN,15075,35.7679,139.704,25.9151,2020-01-19,21:08,2020-01-19,12:08,2,,,clear,Taurus,,,Japan
216407,GAN,15076,35.9846,139.563,18.2001,2020-01-19,21:11,2020-01-19,12:11,3,,,1/4 of sky,Taurus,,,Japan
216408,GAN,15077,35.7295,139.713,31.5783,2020-01-19,21:11,2020-01-19,12:11,1,,,1/4 of sky,Orion,,,Japan
216409,GAN,15078,35.6826,139.865,1.16756,2020-01-19,21:12,2020-01-19,12:12,1,,,clear,Orion,,,Japan
216410,GAN,15080,35.7241,140.079,32.0199,2020-01-19,21:17,2020-01-19,12:17,1,,,1/4 of sky,Orion,,,Japan
216411,GAN,15083,35.724,140.08,31.6537,2020-01-19,21:22,2020-01-19,12:22,1,,,1/4 of sky,Orion,,,Japan
216412,GAN,15084,35.762,139.71,28.3869,2020-01-19,21:25,2020-01-19,12:25,2,,,clear,Taurus,,,Japan
216413,GAN,15085,35.7863,139.839,2.12579,2020-01-19,21:28,2020-01-19,12:28,3,,,clear,Orion,,,Japan
216414,GAN,15086,35.9517,139.264,275.728,2020-01-19,21:24,2020-01-19,12:24,3,,,clear,Taurus,,,Japan
216415,GAN,15087,35.7621,139.706,28.6196,2020-01-19,21:31,2020-01-19,12:31,2,,,1/4 of sky,Taurus,,,Japan
216416,GAN,15090,35.8678,139.606,10.4524,2020-01-19,21:52,2020-01-19,12:52,2,,,clear,Perseus,,,Japan
216417,GAN,15091,35.7271,140.156,20.2101,2020-01-19,21:59,2020-01-19,12:59,1,,,clear,Orion,,,Japan
216418,GAN,15092,35.9339,139.372,42.1724,2020-01-19,22:01,2020-01-19,13:01,1,,,1/4 of sky,Orion,,,Japan
216419,GAN,15093,35.7256,139.763,12.1028,2020-01-19,22:02,2020-01-19,13:02,1,,,clear,Taurus,,,Japan
216420,GAN,15094,36.3097,139.818,37.3312,2020-01-19,22:02,2020-01-19,13:02,2,,,clear,Orion,,,Japan
216421,GAN,15095,35.3969,139.572,47.1238,2020-01-19,22:10,2020-01-19,13:10,3,,,clear,Orion,,,Japan
216422,GAN,15096,35.9889,140.138,25.09,2020-01-19,22:19,2020-01-19,13:19,3,,,clear,Orion,,,Japan
216423,GAN,15097,35.7715,139.915,25.4363,2020-01-19,22:25,2020-01-19,13:25,1,,,clear,Orion,,,Japan
216424,GAN,15098,35.9701,139.563,22.1083,2020-01-19,22:25,2020-01-19,13:25,2,,,clear,Orion,,,Japan
216425,GAN,15099,35.7512,139.709,33.4719,2020-01-19,22:28,2020-01-19,13:28,2,,,1/4 of sky,Perseus,,,Japan
216426,GAN,15100,35.7423,139.701,36.0924,2020-01-19,22:31,2020-01-19,13:31,3,,,1/4 of sky,Orion,,,Japan
216427,GAN,15101,35.942,140.155,21.9409,2020-01-19,22:35,2020-01-19,13:35,1,,,1/2 of sky,Orion,,,Japan
216428,GAN,15102,35.8939,139.853,7.85206,2020-01-19,21:45,2020-01-19,12:45,2,,,1/4 of sky,Orion,,,Japan
216429,GAN,15103,35.9963,139.447,14.407,2020-01-19,22:46,2020-01-19,13:46,2,,,1/4 of sky,Orion,,,Japan
216430,GAN,15104,35.7841,139.692,4.75386,2020-01-19,22:48,2020-01-19,13:48,2,,,1/4 of sky,Orion,,,Japan
216431,GAN,15105,35.645,140.114,27.6777,2020-01-19,22:53,2020-01-19,13:53,-9999,,,1/4 of sky,Orion,,,Japan
216432,GAN,15106,35.6938,139.509,53.3833,2020-01-19,22:54,2020-01-19,13:54,1,,,clear,Orion,,,Japan
216433,GAN,15107,35.3181,139.366,6.27416,2020-01-19,23:02,2020-01-19,14:02,3,,,clear,Taurus,,,Japan
216434,GAN,15108,35.7821,139.941,28.6628,2020-01-19,23:07,2020-01-19,14:07,2,,,clear,Orion,,,Japan
216435,GAN,15109,35.7239,139.296,145.555,2020-01-19,21:38,2020-01-19,12:38,3,,,clear,Orion,,,Japan
216436,GAN,15110,35.7399,139.577,54.725,2020-01-19,23:17,2020-01-19,14:17,2,,,clear,Orion,,,Japan
216437,GAN,15111,35.8072,139.681,4.90105,2020-01-19,23:32,2020-01-19,14:32,3,,,clear,Orion,,,Japan
216438,GAN,15112,35.7851,139.679,4.82285,2020-01-19,23:32,2020-01-19,14:32,3,,,1/4 of sky,Orion,,,Japan
216439,GAN,15113,35.7283,139.729,27.4748,2020-01-19,23:36,2020-01-19,14:36,1,,,clear,Taurus,,,Japan
216440,GAN,15115,35.7846,139.632,28.7969,2020-01-19,23:38,2020-01-19,14:38,1,,,clear,Taurus,,,Japan
216441,GAN,15116,35.7209,139.986,17.7111,2020-01-19,23:39,2020-01-19,14:39,2,,,1/4 of sky,Orion,,,Japan
216442,GAN,15117,35.4585,139.358,26.9564,2020-01-19,23:37,2020-01-19,14:37,3,,,clear,Orion,,,Japan
216443,GAN,15118,35.7847,139.632,28.9078,2020-01-19,23:40,2020-01-19,14:40,2,,,clear,Taurus,,,Japan
216444,GAN,15120,35.6025,139.344,133.525,2020-01-19,23:41,2020-01-19,14:41,3,,,clear,Orion,,,Japan
216445,GAN,15121,35.8722,139.646,18.1888,2020-01-19,23:38,2020-01-19,14:38,4,,,clear,Orion,,,Japan
216446,GAN,15122,35.8018,139.8,3.5601,2020-01-19,23:43,2020-01-19,14:43,3,,,clear,Orion,,,Japan
216447,GAN,15123,36.3283,139.709,33.723,2020-01-19,23:47,2020-01-19,14:47,4,,,clear,Orion,,,Japan
216448,GAN,15124,35.7036,139.626,48.0914,2020-01-19,23:57,2020-01-19,14:57,2,,,1/4 of sky,Taurus,,,Japan
216449,GAN,15125,35.515,140.082,4.50259,2020-01-19,23:56,2020-01-19,14:56,3,,,clear,Orion,,,Japan
216451,GAN,15127,35.8474,139.711,6.73488,2020-01-19,23:09,2020-01-19,14:09,3,,,clear,Orion,,,Japan
